,timestamp,temperature,humidity,wind_speed,energy_consumption
0,2002-01-01 01:00:00,-7.1,82.0,20.0,0.17
1,2002-01-01 02:00:00,-7.7,84.0,20.0,0.27
2,2002-01-01 03:00:00,-8.6,87.0,19.0,0.33
3,2002-01-01 04:00:00,-9.1,89.0,13.0,0.38
4,2002-01-01 05:00:00,-9.2,89.0,11.0,0.36
5,2002-01-01 06:00:00,-9.7,90.0,11.0,0.29
6,2002-01-01 07:00:00,-8.3,88.0,13.0,0.34
7,2002-01-01 08:00:00,-7.3,86.0,17.0,0.34
8,2002-01-01 09:00:00,-7.2,88.0,9.0,0.58
9,2002-01-01 10:00:00,-6.4,86.0,7.0,1.4
10,2002-01-01 11:00:00,-5.5,83.0,9.0,1.95
11,2002-01-01 12:00:00,-4.1,78.0,6.0,4.7
12,2002-01-01 13:00:00,-3.1,71.0,7.0,0.84
13,2002-01-01 14:00:00,-2.9,61.0,15.0,1.09
14,2002-01-01 15:00:00,-3.5,62.0,11.0,0.9
15,2002-01-01 16:00:00,-4.0,62.0,7.0,1.97
16,2002-01-01 17:00:00,-5.7,69.0,4.0,1.48
17,2002-01-01 18:00:00,-6.8,75.0,6.0,0.48
18,2002-01-01 19:00:00,-7.5,78.0,7.0,0.49
19,2002-01-01 20:00:00,-6.3,79.0,7.0,0.57
20,2002-01-01 21:00:00,-6.3,84.0,6.0,0.51
21,2002-01-01 22:00:00,-5.8,84.0,6.0,0.53
22,2002-01-01 23:00:00,-6.3,88.0,0.0,1.98
23,2002-01-02 00:00:00,-7.1,90.0,0.0,3.01
24,2002-01-02 01:00:00,-9.2,95.0,6.0,0.44
25,2002-01-02 02:00:00,-5.6,93.0,6.0,0.19
26,2002-01-02 03:00:00,-5.0,84.0,7.0,0.28
27,2002-01-02 04:00:00,-5.0,76.0,7.0,0.31
28,2002-01-02 05:00:00,-4.7,73.0,11.0,0.33
29,2002-01-02 06:00:00,-5.7,75.0,9.0,0.37
30,2002-01-02 07:00:00,-7.2,81.0,11.0,0.31
31,2002-01-02 08:00:00,-8.2,84.0,7.0,0.5
32,2002-01-02 09:00:00,-7.3,79.0,9.0,2.3
33,2002-01-02 10:00:00,-5.4,76.0,13.0,0.37
34,2002-01-02 11:00:00,-4.4,75.0,15.0,0.36
35,2002-01-02 12:00:00,-3.9,76.0,11.0,0.32
36,2002-01-02 13:00:00,-3.8,76.0,13.0,0.3
37,2002-01-02 14:00:00,-3.8,76.0,17.0,0.33
38,2002-01-02 15:00:00,-3.6,67.0,15.0,1.02
39,2002-01-02 16:00:00,-3.6,69.0,15.0,0.56
40,2002-01-02 17:00:00,-3.4,68.0,13.0,0.38
41,2002-01-02 18:00:00,-3.3,66.0,13.0,2.19
42,2002-01-02 19:00:00,-3.7,68.0,13.0,1.49
43,2002-01-02 20:00:00,-4.1,71.0,11.0,0.35
44,2002-01-02 21:00:00,-4.4,72.0,15.0,0.44
45,2002-01-02 22:00:00,-4.5,71.0,17.0,0.4
46,2002-01-02 23:00:00,-6.0,75.0,13.0,0.53
47,2002-01-03 00:00:00,-6.8,77.0,13.0,0.95
48,2002-01-03 01:00:00,-7.3,80.0,15.0,0.3
49,2002-01-03 02:00:00,-7.1,83.0,13.0,0.37
50,2002-01-03 03:00:00,-7.3,86.0,9.0,0.29
51,2002-01-03 04:00:00,-7.0,87.0,11.0,1.12
52,2002-01-03 05:00:00,-7.1,87.0,13.0,0.35
53,2002-01-03 06:00:00,-7.1,88.0,9.0,0.32
54,2002-01-03 07:00:00,-7.6,89.0,9.0,0.35
55,2002-01-03 08:00:00,-7.5,89.0,11.0,0.74
56,2002-01-03 09:00:00,-6.1,86.0,11.0,0.24
57,2002-01-03 10:00:00,-6.0,85.0,13.0,0.25
58,2002-01-03 11:00:00,-4.2,81.0,17.0,0.22
59,2002-01-03 12:00:00,-3.2,76.0,17.0,0.3
60,2002-01-03 13:00:00,-2.8,76.0,17.0,0.28
61,2002-01-03 14:00:00,-2.8,77.0,17.0,0.23
62,2002-01-03 15:00:00,-2.6,78.0,15.0,0.83
63,2002-01-03 16:00:00,-2.8,79.0,11.0,0.66
64,2002-01-03 17:00:00,-2.9,77.0,13.0,0.27
65,2002-01-03 18:00:00,-3.1,76.0,15.0,0.55
66,2002-01-03 19:00:00,-3.2,76.0,15.0,0.4
67,2002-01-03 20:00:00,-3.3,77.0,17.0,0.43
68,2002-01-03 21:00:00,-3.5,77.0,15.0,0.28
69,2002-01-03 22:00:00,-3.9,75.0,19.0,0.56
70,2002-01-03 23:00:00,-4.3,75.0,17.0,0.45
71,2002-01-04 00:00:00,-4.5,75.0,17.0,1.27
72,2002-01-04 01:00:00,-4.8,76.0,13.0,0.73
73,2002-01-04 02:00:00,-5.6,76.0,15.0,0.97
74,2002-01-04 03:00:00,-6.9,82.0,13.0,0.36
75,2002-01-04 04:00:00,-7.0,82.0,11.0,0.33
76,2002-01-04 05:00:00,-7.8,84.0,7.0,0.33
77,2002-01-04 06:00:00,-8.0,85.0,13.0,0.54
78,2002-01-04 07:00:00,-6.8,86.0,17.0,0.34
79,2002-01-04 08:00:00,-7.0,84.0,22.0,0.54
80,2002-01-04 09:00:00,-6.9,84.0,13.0,1.09
81,2002-01-04 10:00:00,-5.8,79.0,22.0,0.41
82,2002-01-04 11:00:00,-4.2,71.0,22.0,0.41
83,2002-01-04 12:00:00,-2.8,61.0,24.0,0.33
84,2002-01-04 13:00:00,-1.7,57.0,28.0,0.37
85,2002-01-04 14:00:00,-1.2,55.0,32.0,0.29
86,2002-01-04 15:00:00,-1.7,61.0,28.0,0.3
87,2002-01-04 16:00:00,-1.7,62.0,24.0,0.3
88,2002-01-04 17:00:00,-1.7,62.0,32.0,0.23
89,2002-01-04 18:00:00,-1.1,59.0,32.0,0.29
90,2002-01-04 19:00:00,-0.7,58.0,24.0,0.28
91,2002-01-04 20:00:00,-0.6,59.0,26.0,1.23
92,2002-01-04 21:00:00,-0.6,59.0,26.0,3.65
93,2002-01-04 22:00:00,-0.6,58.0,24.0,0.23
94,2002-01-04 23:00:00,-0.8,60.0,22.0,0.21
95,2002-01-05 00:00:00,-0.7,61.0,22.0,0.32
96,2002-01-05 01:00:00,-0.8,62.0,24.0,0.57
97,2002-01-05 02:00:00,-0.9,63.0,20.0,0.64
98,2002-01-05 03:00:00,-1.1,64.0,22.0,0.29
99,2002-01-05 04:00:00,-1.2,65.0,24.0,0.38
100,2002-01-05 05:00:00,-1.1,66.0,24.0,0.34
101,2002-01-05 06:00:00,-1.4,67.0,20.0,0.76
102,2002-01-05 07:00:00,-1.6,68.0,19.0,0.59
103,2002-01-05 08:00:00,-1.7,67.0,22.0,0.52
104,2002-01-05 09:00:00,-1.4,67.0,20.0,0.81
105,2002-01-05 10:00:00,-1.1,67.0,20.0,0.21
106,2002-01-05 11:00:00,-0.6,66.0,26.0,0.18
107,2002-01-05 12:00:00,0.2,64.0,19.0,0.27
108,2002-01-05 13:00:00,0.7,65.0,17.0,0.32
109,2002-01-05 14:00:00,1.1,63.0,22.0,0.31
110,2002-01-05 15:00:00,0.6,68.0,19.0,0.29
111,2002-01-05 16:00:00,0.5,68.0,13.0,0.24
112,2002-01-05 17:00:00,0.6,68.0,13.0,2.05
113,2002-01-05 18:00:00,0.8,68.0,17.0,0.37
114,2002-01-05 19:00:00,-0.8,86.0,26.0,0.48
115,2002-01-05 20:00:00,-0.7,87.0,22.0,1.27
116,2002-01-05 21:00:00,-0.7,92.0,22.0,3.48
117,2002-01-05 22:00:00,-0.8,94.0,15.0,0.38
118,2002-01-05 23:00:00,-0.7,94.0,19.0,0.39
119,2002-01-06 00:00:00,-0.8,94.0,17.0,1.66
120,2002-01-06 01:00:00,-0.7,93.0,15.0,0.53
121,2002-01-06 02:00:00,-0.7,92.0,11.0,0.34
122,2002-01-06 03:00:00,-0.6,92.0,11.0,0.41
123,2002-01-06 04:00:00,-0.7,94.0,11.0,1.1
124,2002-01-06 05:00:00,-0.7,96.0,7.0,0.44
125,2002-01-06 06:00:00,-0.7,96.0,6.0,0.39
126,2002-01-06 07:00:00,-0.8,96.0,7.0,0.37
127,2002-01-06 08:00:00,-1.2,95.0,9.0,1.21
128,2002-01-06 09:00:00,-1.1,94.0,7.0,0.29
129,2002-01-06 10:00:00,-0.9,94.0,6.0,0.27
130,2002-01-06 11:00:00,-0.8,94.0,4.0,1.0
131,2002-01-06 12:00:00,-0.7,96.0,4.0,0.32
132,2002-01-06 13:00:00,-0.2,92.0,0.0,0.46
133,2002-01-06 14:00:00,-0.5,94.0,7.0,0.39
134,2002-01-06 15:00:00,-0.3,93.0,11.0,0.41
135,2002-01-06 16:00:00,-0.2,93.0,9.0,1.19
136,2002-01-06 17:00:00,-0.2,94.0,11.0,1.44
137,2002-01-06 18:00:00,-0.3,95.0,11.0,0.56
138,2002-01-06 19:00:00,-0.2,94.0,9.0,1.04
139,2002-01-06 20:00:00,0.2,91.0,9.0,1.85
140,2002-01-06 21:00:00,0.8,91.0,15.0,1.16
141,2002-01-06 22:00:00,1.0,92.0,15.0,2.34
142,2002-01-06 23:00:00,1.2,86.0,20.0,3.24
143,2002-01-07 00:00:00,0.4,85.0,28.0,0.42
144,2002-01-07 01:00:00,-0.9,84.0,30.0,0.32
145,2002-01-07 02:00:00,-2.4,83.0,24.0,0.31
146,2002-01-07 03:00:00,-3.5,84.0,20.0,0.35
147,2002-01-07 04:00:00,-4.3,83.0,32.0,0.31
148,2002-01-07 05:00:00,-5.6,83.0,26.0,0.29
149,2002-01-07 06:00:00,-6.1,81.0,24.0,0.34
150,2002-01-07 07:00:00,-7.7,80.0,17.0,0.28
151,2002-01-07 08:00:00,-9.0,81.0,13.0,0.63
152,2002-01-07 09:00:00,-9.3,81.0,15.0,0.94
153,2002-01-07 10:00:00,-8.3,78.0,19.0,0.27
154,2002-01-07 11:00:00,-7.3,74.0,20.0,0.39
155,2002-01-07 12:00:00,-7.1,71.0,22.0,0.33
156,2002-01-07 13:00:00,-6.6,71.0,17.0,0.27
157,2002-01-07 14:00:00,-6.3,69.0,19.0,0.37
158,2002-01-07 15:00:00,-6.0,67.0,13.0,0.27
159,2002-01-07 16:00:00,-6.3,69.0,15.0,0.31
160,2002-01-07 17:00:00,-7.3,72.0,13.0,0.31
161,2002-01-07 18:00:00,-9.0,77.0,7.0,0.66
162,2002-01-07 19:00:00,-9.4,81.0,9.0,1.61
163,2002-01-07 20:00:00,-8.5,85.0,9.0,0.67
164,2002-01-07 21:00:00,-9.7,91.0,0.0,3.26
165,2002-01-07 22:00:00,-9.3,90.0,6.0,2.19
166,2002-01-07 23:00:00,-6.6,86.0,11.0,0.61
167,2002-01-08 00:00:00,-6.3,82.0,17.0,0.53
168,2002-01-08 01:00:00,-6.9,82.0,17.0,0.34
169,2002-01-08 02:00:00,-7.1,80.0,13.0,1.11
170,2002-01-08 03:00:00,-7.3,80.0,20.0,0.31
171,2002-01-08 04:00:00,-7.1,77.0,15.0,0.33
172,2002-01-08 05:00:00,-6.6,79.0,19.0,0.32
173,2002-01-08 06:00:00,-4.8,81.0,28.0,0.32
174,2002-01-08 07:00:00,-4.1,81.0,28.0,0.31
175,2002-01-08 08:00:00,-4.7,78.0,24.0,0.59
176,2002-01-08 09:00:00,-4.9,77.0,20.0,0.72
177,2002-01-08 10:00:00,-4.3,75.0,30.0,1.92
178,2002-01-08 11:00:00,-4.0,75.0,35.0,2.93
179,2002-01-08 12:00:00,-3.2,71.0,30.0,4.15
180,2002-01-08 13:00:00,-2.6,68.0,33.0,0.8
181,2002-01-08 14:00:00,-2.4,71.0,32.0,2.95
182,2002-01-08 15:00:00,-2.1,70.0,26.0,1.8
183,2002-01-08 16:00:00,-2.2,69.0,30.0,0.22
184,2002-01-08 17:00:00,-2.4,71.0,28.0,0.25
185,2002-01-08 18:00:00,-2.2,71.0,32.0,0.29
186,2002-01-08 19:00:00,-1.6,72.0,30.0,0.27
187,2002-01-08 20:00:00,-1.1,73.0,26.0,0.68
188,2002-01-08 21:00:00,-0.7,70.0,26.0,0.74
189,2002-01-08 22:00:00,-0.5,71.0,35.0,0.3
190,2002-01-08 23:00:00,-0.7,72.0,32.0,0.33
191,2002-01-09 00:00:00,-0.6,74.0,30.0,0.29
192,2002-01-09 01:00:00,-0.2,74.0,22.0,0.67
