DateTime,year,month_of_yr,day_of_yr,day_of_month,day_of_week,weekend,holiday,hour,season,energy
2007-03-09,2007,3,68,9,4,0,0,1,2,30965.0
2007-03-09,2007,3,68,9,4,0,0,2,2,31029.0
2007-03-09,2007,3,68,9,4,0,0,3,2,31178.0
2007-03-09,2007,3,68,9,4,0,0,4,2,31089.0
2007-03-09,2007,3,68,9,4,0,0,5,2,32073.0
2007-03-09,2007,3,68,9,4,0,0,6,2,35199.0
2007-03-09,2007,3,68,9,4,0,0,7,2,38845.0
2007-03-09,2007,3,68,9,4,0,0,8,2,38550.0
2007-03-09,2007,3,68,9,4,0,0,9,2,34801.0
2007-03-09,2007,3,68,9,4,0,0,10,2,32902.0
2007-03-09,2007,3,68,9,4,0,0,11,2,31651.0
2007-03-09,2007,3,68,9,4,0,0,12,2,30076.0
2007-03-09,2007,3,68,9,4,0,0,13,2,28649.0
2007-03-09,2007,3,68,9,4,0,0,14,2,28068.0
2007-03-09,2007,3,68,9,4,0,0,15,2,27725.0
2007-03-09,2007,3,68,9,4,0,0,16,2,27466.0
2007-03-09,2007,3,68,9,4,0,0,17,2,28148.0
2007-03-09,2007,3,68,9,4,0,0,18,2,30280.0
2007-03-09,2007,3,68,9,4,0,0,19,2,33527.0
2007-03-09,2007,3,68,9,4,0,0,20,2,34624.0
2007-03-09,2007,3,68,9,4,0,0,21,2,34278.0
2007-03-09,2007,3,68,9,4,0,0,22,2,33471.0
2007-03-09,2007,3,68,9,4,0,0,23,2,31313.0
2007-03-09,2007,3,68,9,4,0,0,24,2,29639.0
2007-03-10,2007,3,69,10,5,1,0,1,2,28234.0
2007-03-10,2007,3,69,10,5,1,0,2,2,27250.0
2007-03-10,2007,3,69,10,5,1,0,3,2,26962.0
2007-03-10,2007,3,69,10,5,1,0,4,2,26847.0
2007-03-10,2007,3,69,10,5,1,0,5,2,26658.0
2007-03-10,2007,3,69,10,5,1,0,6,2,26844.0
2007-03-10,2007,3,69,10,5,1,0,7,2,27694.0
2007-03-10,2007,3,69,10,5,1,0,8,2,27671.0
2007-03-10,2007,3,69,10,5,1,0,9,2,27408.0
2007-03-10,2007,3,69,10,5,1,0,10,2,26194.0
