index,error,prediction,true_value
893,-2.9728446006774902,1.7771553993225098,4.75
799,-2.850275664329528,1.9297243356704712,4.779999999999999
1731,-2.7552006483078006,1.6447993516921997,4.4
287,-2.486543698310852,1.683456301689148,4.17
605,-2.3002329683303833,1.6597670316696167,3.96
798,-2.2918128681182863,1.6781871318817139,3.97
933,-2.2744945240020753,1.5955054759979248,3.87
608,-2.2517968988418584,1.808203101158142,4.0600000000000005
944,-2.154318070411682,1.6956819295883179,3.85
97,-1.9615977001190186,1.8084022998809814,3.77
515,-1.9405648994445799,1.83943510055542,3.78
1661,-1.9084824657440187,1.5015175342559814,3.41
201,-1.8635318088531494,1.6164681911468506,3.48
606,-1.8118668365478516,2.0181331634521484,3.83
894,-1.7412429809570313,2.1087570190429688,3.85
1662,-1.7107798576354982,1.739220142364502,3.45
514,-1.6549919939041136,1.6050080060958862,3.26
607,-1.592474718093872,1.927525281906128,3.52
1663,-1.585484619140625,1.784515380859375,3.37
1591,-1.5325990867614747,1.3374009132385254,2.87
609,-1.4980864000320433,1.8219135999679565,3.32
2352,-1.4918296623229979,2.038170337677002,3.53
418,-1.4718493890762328,1.598150610923767,3.07
1684,-1.4641876411437988,1.8058123588562012,3.27
292,-1.4483796167373657,1.7816203832626343,3.23
1685,-1.4417882633209227,2.128211736679077,3.57
942,-1.4388011074066163,1.8711988925933838,3.31
610,-1.4023714113235473,1.7276285886764526,3.13
2359,-1.3643878364562987,1.4756121635437012,2.84
197,-1.3427432060241697,1.70725679397583,3.05
2350,-1.329777355194092,1.5402226448059082,2.87
290,-1.3286629962921142,2.0513370037078857,3.38
917,-1.3161989402770997,1.8038010597229004,3.12
98,-1.2794449520111084,2.2405550479888916,3.52
2355,-1.241608533859253,1.918391466140747,3.16
921,-1.1678893566131592,1.5821106433868408,2.75
943,-1.1449312877655027,1.825068712234497,2.9699999999999998
57,-1.1434784698486329,1.4365215301513672,2.58
513,-1.1232215404510497,1.5267784595489502,2.65
288,-1.0977992153167726,2.3122007846832275,3.41
946,-1.0804914093017581,1.5295085906982422,2.6100000000000003
198,-1.0342223548889162,1.955777645111084,2.99
800,-0.9273123979568481,1.9726876020431519,2.9
2311,-0.9176689910888669,1.2623310089111328,2.1799999999999997
849,-0.9034752130508421,1.3965247869491577,2.3
