index,error,prediction,true_value
893,-3.140540361404419,1.609459638595581,4.75
1731,-2.6017620801925663,1.798237919807434,4.4
605,-2.2901130533218383,1.6698869466781616,3.96
287,-2.225386424064636,1.9446135759353638,4.17
933,-2.214061851501465,1.6559381484985352,3.87
798,-2.1563886117935183,1.813611388206482,3.97
799,-2.145719318389892,2.6342806816101074,4.779999999999999
1661,-1.8866874313354494,1.5233125686645508,3.41
944,-1.722335195541382,2.127664804458618,3.85
97,-1.6362078380584717,2.1337921619415283,3.77
1684,-1.618443865776062,1.651556134223938,3.27
201,-1.617638807296753,1.862361192703247,3.48
515,-1.6061706829071043,2.1738293170928955,3.78
514,-1.5743297433853147,1.685670256614685,3.26
418,-1.5676454973220824,1.5023545026779175,3.07
2352,-1.56354275226593,1.9664572477340698,3.53
608,-1.4798701381683355,2.580129861831665,4.0600000000000005
942,-1.4295430755615235,1.8804569244384766,3.31
1591,-1.3873591375350953,1.4826408624649048,2.87
197,-1.3664411783218382,1.6835588216781616,3.05
1732,1.3636295127868654,2.9336295127868652,1.5699999999999998
934,1.3546010875701904,2.9146010875701904,1.56
1662,-1.3439380645751955,2.1060619354248047,3.45
1685,-1.323941774368286,2.246058225631714,3.57
2350,-1.2917103719711305,1.5782896280288696,2.87
917,-1.246491665840149,1.873508334159851,3.12
2359,-1.2386998796463011,1.6013001203536987,2.84
292,-1.210236291885376,2.019763708114624,3.23
1663,-1.1427999687194825,2.2272000312805176,3.37
965,1.1019859313964844,2.3519859313964844,1.25
606,-1.0826340484619141,2.747365951538086,3.83
513,-1.0690315008163451,1.5809684991836548,2.65
516,1.0681762886047363,2.5481762886047363,1.48
57,-1.0522551107406617,1.5277448892593384,2.58
921,-1.0267645120620728,1.7232354879379272,2.75
2355,-1.0016450023651124,2.1583549976348877,3.16
888,-0.9608045148849484,1.4691954851150513,2.4299999999999997
1688,-0.9536246967315671,1.5163753032684326,2.4699999999999998
610,-0.9530018615722655,2.1769981384277344,3.13
946,-0.9209143972396854,1.689085602760315,2.6100000000000003
894,-0.912483310699463,2.937516689300537,3.85
417,-0.9036653327941897,1.3763346672058105,2.2800000000000002
101,0.9016321086883545,2.1116321086883545,1.21
290,-0.8836263465881347,2.4963736534118652,3.38
849,-0.8641521215438841,1.4358478784561157,2.3
895,0.851749906539917,2.591749906539917,1.74
958,-0.8470251274108884,1.8729748725891113,2.7199999999999998
701,-0.8421033859252929,1.557896614074707,2.4
198,-0.8219754600524904,2.1680245399475098,2.99
945,0.8088348484039307,2.4988348484039307,1.69
870,-0.8012482213974002,1.4787517786026,2.2800000000000002
743,-0.7977181100845336,1.8922818899154663,2.69
293,0.7954664421081543,2.0254664421081543,1.23
174,-0.7863132572174072,1.6736867427825928,2.46
726,-0.7777787542343138,1.732221245765686,2.51
801,0.7763592910766601,2.30635929107666,1.53
545,-0.754879488945007,1.6351205110549927,2.3899999999999997
2311,-0.754087858200073,1.4259121417999268,2.1799999999999997
702,-0.750069012641907,1.7399309873580933,2.49
1592,0.7467648935317994,1.8767648935317993,1.13
607,-0.7303545665740967,2.7896454334259033,3.52
239,-0.7248652648925784,2.095134735107422,2.8200000000000003
393,-0.721994662284851,1.428005337715149,2.15
2335,-0.713925652503967,1.4660743474960327,2.1799999999999997
28,-0.708378677368164,1.671621322631836,2.38
797,-0.7078949785232544,1.6021050214767456,2.31
512,-0.6987253332138064,1.5412746667861938,2.24
940,-0.6862191963195801,2.04378080368042,2.73
2354,-0.6830297851562497,2.20697021484375,2.8899999999999997
53,-0.6804635858535768,1.7295364141464233,2.41
18,-0.6654228305816652,1.494577169418335,2.16
1708,0.6638861656188966,2.0638861656188965,1.4
202,0.6494694042205811,2.119469404220581,1.47
777,-0.647270302772522,1.582729697227478,2.23
986,0.6340535831451417,2.0140535831451416,1.38
556,-0.6306809854507449,1.9393190145492554,2.5700000000000003
200,-0.6303830814361575,1.9396169185638428,2.5700000000000003
226,-0.6217551517486575,1.6582448482513428,2.2800000000000002
285,-0.6175982093811037,1.5424017906188965,2.16
547,0.6099100971221922,2.2699100971221924,1.6600000000000001
960,-0.60626070022583,2.06373929977417,2.67
2357,-0.6035796594619751,1.666420340538025,2.27
96,-0.6017187023162842,1.6882812976837158,2.29
954,-0.5968398284912109,1.823160171508789,2.42
81,-0.5850748968124391,1.534925103187561,2.12
943,-0.5840899658203123,2.3859100341796875,2.9699999999999998
154,-0.5743374252319335,1.3656625747680664,1.94
821,0.5701376152038575,1.7001376152038574,1.13
1615,-0.567725534439087,1.552274465560913,2.12
951,-0.5613096475601198,1.6386903524398804,2.2
935,0.561226806640625,1.851226806640625,1.29
224,-0.5596091985702514,1.8403908014297485,2.4
919,-0.5586929988861087,2.0113070011138916,2.5700000000000003
546,-0.5524672222137452,2.067532777786255,2.62
2430,-0.5481590986251832,1.551840901374817,2.1
