index,error,prediction,true_value
893,-3.176527500152588,1.573472499847412,4.75
1731,-2.7384144306182865,1.6615855693817139,4.4
605,-2.3472361183166504,1.6127638816833496,3.96
933,-2.3442376804351808,1.5257623195648193,3.87
287,-2.204475564956665,1.965524435043335,4.17
799,-2.1265275764465326,2.653472423553467,4.779999999999999
798,-2.057007999420166,1.912992000579834,3.97
1661,-1.8035651779174806,1.6064348220825195,3.41
1684,-1.7125501823425293,1.5574498176574707,3.27
97,-1.653253812789917,2.116746187210083,3.77
944,-1.5904849529266358,2.2595150470733643,3.85
608,-1.5339069938659673,2.526093006134033,4.0600000000000005
1591,-1.5117531967163087,1.3582468032836914,2.87
201,-1.4431049633026123,2.0368950366973877,3.48
917,-1.3690611076354982,1.750938892364502,3.12
197,-1.3534207820892332,1.6965792179107666,3.05
515,-1.320429353713989,2.4595706462860107,3.78
2352,-1.2898900794982908,2.240109920501709,3.53
942,-1.2673485851287842,2.042651414871216,3.31
2350,-1.257314796447754,1.612685203552246,2.87
606,-1.2305322456359864,2.5994677543640137,3.83
516,1.2137777996063233,2.6937777996063232,1.48
418,-1.200798816680908,1.8692011833190918,3.07
1685,-1.1997903060913084,2.3702096939086914,3.57
1732,1.1829757022857668,2.7529757022857666,1.5699999999999998
514,-1.1381821727752683,2.1218178272247314,3.26
293,1.1204526615142822,2.3504526615142822,1.23
290,-1.078679208755493,2.301320791244507,3.38
894,-1.0717071056365968,2.7782928943634033,3.85
57,-1.0593930053710938,1.5206069946289062,2.58
1662,-1.0199095726013185,2.4300904273986816,3.45
965,0.9832825660705566,2.2332825660705566,1.25
2359,-0.981498565673828,1.8585014343261719,2.84
202,0.9735529708862305,2.4435529708862305,1.47
1592,0.9632750701904298,2.0932750701904297,1.13
545,-0.963266506195068,1.4267334938049316,2.3899999999999997
101,0.9608140373229981,2.170814037322998,1.21
292,-0.94694016456604,2.28305983543396,3.23
921,-0.9431717395782471,1.806828260421753,2.75
934,0.9412590885162353,2.5012590885162354,1.56
419,0.9323843574523925,2.3223843574523926,1.3900000000000001
2360,0.9296529102325439,2.199652910232544,1.27
1688,-0.9279913616180417,1.542008638381958,2.4699999999999998
946,-0.9137841320037845,1.6962158679962158,2.6100000000000003
945,0.9029524898529053,2.5929524898529053,1.69
607,-0.8777017784118653,2.6422982215881348,3.52
895,0.87167311668396,2.61167311668396,1.74
888,-0.8580390739440915,1.5719609260559082,2.4299999999999997
611,0.8533484363555908,2.413348436355591,1.56
1663,-0.8471697521209718,2.5228302478790283,3.37
98,-0.8471143436431885,2.6728856563568115,3.52
2355,-0.8420414066314699,2.3179585933685303,3.16
28,-0.8339511203765868,1.546048879623413,2.38
174,-0.8323924160003662,1.6276075839996338,2.46
849,-0.8308554172515867,1.469144582748413,2.3
18,-0.8286792373657228,1.3313207626342773,2.16
417,-0.816482095718384,1.4635179042816162,2.2800000000000002
513,-0.8122102260589599,1.83778977394104,2.65
870,-0.8009891796112063,1.479010820388794,2.2800000000000002
922,0.7930168437957763,2.1130168437957764,1.32
801,0.7882740211486816,2.3182740211486816,1.53
940,-0.7841965961456299,1.9458034038543701,2.73
701,-0.7812415599822997,1.6187584400177002,2.4
797,-0.7783036804199219,1.5316963195800781,2.31
512,-0.7590970897674563,1.480902910232544,2.24
546,-0.7297455024719239,1.8902544975280762,2.62
646,-0.7285382175445556,1.4614617824554443,2.19
726,-0.7284855937957762,1.7815144062042236,2.51
198,-0.7159852886199953,2.274014711380005,2.99
2335,-0.696733646392822,1.4832663536071777,2.1799999999999997
288,-0.6916536426544191,2.718346357345581,3.41
285,-0.686733160018921,1.473266839981079,2.16
53,-0.6862446403503419,1.7237553596496582,2.41
2311,-0.684784822463989,1.4952151775360107,2.1799999999999997
239,-0.6601420116424563,2.159857988357544,2.8200000000000003
1664,0.6588825416564941,2.488882541656494,1.83
393,-0.6522525787353515,1.4977474212646484,2.15
958,-0.648082466125488,2.0719175338745117,2.7199999999999998
777,-0.646022777557373,1.583977222442627,2.23
2336,0.6456325721740723,1.8256325721740723,1.18
610,-0.641566400527954,2.488433599472046,3.13
850,0.6319896984100342,1.9019896984100342,1.27
96,-0.6282489681243897,1.6617510318756104,2.29
2354,-0.62684287071228,2.2631571292877197,2.8899999999999997
743,-0.6261584186553955,2.0638415813446045,2.69
741,-0.6255087661743164,1.6044912338256836,2.23
672,-0.6234249687194824,1.5865750312805176,2.21
609,-0.6155005168914793,2.7044994831085205,3.32
81,-0.61049711227417,1.50950288772583,2.12
963,-0.6071169757843018,2.1828830242156982,2.79
242,-0.6063856315612792,2.3136143684387207,2.92
943,-0.5987577152252195,2.3712422847747803,2.9699999999999998
964,-0.5838428592681888,2.2761571407318115,2.8600000000000003
244,-0.5637903594970703,2.2262096405029297,2.79
200,-0.5623298358917239,2.0076701641082764,2.5700000000000003
1687,0.5596560287475585,1.9296560287475586,1.37
935,0.5575210666656494,1.8475210666656494,1.29
556,-0.554195947647095,2.0158040523529053,2.5700000000000003
2430,-0.542666530609131,1.5573334693908691,2.1
702,-0.5423805618286135,1.9476194381713867,2.49
1035,-0.5421719360351562,1.6878280639648438,2.23
954,-0.5388063621520995,1.8811936378479004,2.42
58,0.5382049846649171,1.958204984664917,1.42
130,0.528526372909546,1.708526372909546,1.18
224,-0.5275985240936278,1.872401475906372,2.4
261,-0.5255787563323975,1.4944212436676025,2.02
502,-0.5197368907928466,1.6102631092071533,2.13
986,0.5136948776245118,1.8936948776245117,1.38
696,-0.5120333862304687,1.6579666137695312,2.17
2432,0.5087745952606202,1.9287745952606201,1.42
234,-0.505271635055542,1.704728364944458,2.21
223,-0.5030188751220703,1.7669811248779297,2.27
725,-0.49850878715515146,1.6014912128448486,2.1
394,0.4908315753936767,1.7808315753936768,1.29
1616,0.490489158630371,1.830489158630371,1.34
24,0.4898126316070557,1.7198126316070557,1.23
2357,-0.4856190872192383,1.7843809127807617,2.27
1615,-0.48513757705688487,1.6348624229431152,2.12
99,-0.48392015457153326,2.576079845428467,3.06
939,-0.47502573966979966,1.6149742603302002,2.09
547,0.47240122795104966,2.13240122795105,1.6600000000000001
31,-0.4676571655273438,1.8623428344726562,2.33
30,-0.46563337326049803,1.764366626739502,2.23
465,-0.46214627265930175,1.5278537273406982,1.99
629,-0.4618143749237058,1.758185625076294,2.2199999999999998
505,0.45891372680664055,1.7889137268066406,1.33
561,-0.45674183845520044,1.5732581615447998,2.0300000000000002
872,0.4566482448577882,1.816648244857788,1.3599999999999999
582,-0.4563287353515628,1.6536712646484375,2.1100000000000003
154,-0.455998363494873,1.484001636505127,1.94
1735,-0.4558086395263672,1.5441913604736328,2.0
1665,0.4503132534027099,1.78031325340271,1.33
821,0.45019113540649425,1.5801911354064941,1.13
20,0.4490634632110595,1.7790634632110596,1.33
509,-0.4465723323822024,1.5834276676177979,2.0300000000000002
231,-0.439971857070923,1.4900281429290771,1.9300000000000002
1706,-0.4380129623413085,1.6919870376586914,2.13
1612,-0.4376398658752443,1.2223601341247559,1.6600000000000001
890,0.433990602493286,2.053990602493286,1.62
1037,0.43349648475646974,1.6734964847564697,1.24
674,0.4319983005523682,1.8819983005523682,1.45
698,0.4256310844421387,1.8856310844421387,1.46
1008,-0.4207846927642822,1.5592153072357178,1.98
389,-0.42047322273254384,1.209526777267456,1.63
919,-0.41880971908569364,2.1511902809143066,2.5700000000000003
155,0.41848940849304195,1.718489408493042,1.3
2431,-0.41703556060791014,1.8129644393920898,2.23
1686,0.4158314323425296,2.5558314323425293,2.1399999999999997
236,-0.4154541873931885,1.8745458126068115,2.29
504,0.4147440719604494,1.9847440719604492,1.5699999999999998
1660,-0.41431170463562017,1.3956882953643799,1.81
2320,-0.4138350820541383,1.2461649179458618,1.6600000000000001
773,-0.4111915302276614,1.6588084697723389,2.0700000000000003
125,-0.4095185470581053,1.4104814529418945,1.8199999999999998
2308,-0.40396066188812263,1.1760393381118774,1.58
557,0.40055377006530746,2.0805537700653076,1.6800000000000002
1588,-0.40012747764587386,1.169872522354126,1.5699999999999998
241,-0.3993926143646238,2.360607385635376,2.76
69,-0.3991446590423584,1.3608553409576416,1.76
227,0.39699316024780273,1.8969931602478027,1.5
1034,-0.3962388801574708,1.4337611198425293,1.83
989,-0.3922735023498536,1.6877264976501465,2.08
1633,0.39140994071960455,1.8214099407196045,1.43
289,-0.3907331466674804,2.5092668533325195,2.9
245,0.38849373817443844,2.1784937381744385,1.79
740,-0.3864519691467285,1.3735480308532715,1.76
1629,-0.3864295864105225,1.4035704135894775,1.79
317,0.3863051223754883,1.6063051223754883,1.22
1614,-0.3843372726440428,1.455662727355957,1.8399999999999999
517,0.3840567016601564,1.7440567016601562,1.3599999999999999
1729,0.383555097579956,1.713555097579956,1.33
2452,0.38241882324218746,1.6824188232421875,1.3
826,-0.37627346992492683,1.2037265300750732,1.58
1708,0.37524662017822275,1.7752466201782227,1.4
54,0.37488215446472184,1.9448821544647217,1.5699999999999998
938,0.3747352504730226,1.7347352504730225,1.3599999999999999
226,-0.3735301780700686,1.9064698219299316,2.2800000000000002
598,0.3719353294372558,1.6619353294372559,1.29
83,0.37111254692077633,1.6611125469207764,1.29
897,-0.36892179489135746,1.6710782051086426,2.04
1018,-0.36807027816772475,1.2919297218322754,1.6600000000000001
1013,0.3633454322814942,1.5633454322814941,1.2
2356,0.36307812690734864,2.3530781269073486,1.99
2310,-0.36173003196716325,1.318269968032837,1.6800000000000002
1699,0.3598807334899903,1.8098807334899902,1.45
100,-0.3574485683441164,2.382551431655884,2.74
1636,0.35609406471252436,1.6660940647125244,1.31
243,-0.355844440460205,2.334155559539795,2.69
1703,0.35524370193481447,1.8352437019348145,1.48
727,0.35096246719360336,2.0309624671936035,1.6800000000000002
1655,0.3419289875030518,1.5619289875030518,1.22
102,0.34190091133117684,1.5019009113311768,1.16
459,0.3394974040985108,1.7594974040985107,1.42
936,0.3359500503540038,1.675950050354004,1.34
573,0.3338398075103759,1.673839807510376,1.34
2476,0.32767510414123535,1.5776751041412354,1.25
506,0.3254499244689941,1.5954499244689941,1.27
840,0.322363452911377,1.742363452911377,1.42
600,0.3202774143218994,1.6102774143218994,1.29
527,0.31376021385192865,1.6337602138519287,1.32
914,0.3136507225036622,1.693650722503662,1.38
1010,0.31184157371521004,1.72184157371521,1.41
778,0.31104916572570795,1.871049165725708,1.56
650,0.3095843029022216,1.8895843029022217,1.58
631,0.3086893272399902,1.8386893272399902,1.53
481,0.30809910774230964,1.7280991077423096,1.42
2313,0.30405306816101074,1.5540530681610107,1.25
2427,0.3014839458465577,1.4714839458465576,1.17
1654,0.3013867282867433,1.6613867282867432,1.3599999999999999
2,0.30061932563781735,1.5906193256378174,1.29
168,0.2972450256347656,1.7972450256347656,1.5
194,0.2920979690551757,1.6220979690551758,1.33
2376,0.28687126159667975,1.7168712615966797,1.43
937,0.281946725845337,1.711946725845337,1.43
530,0.27974075317382807,1.5897407531738281,1.31
