index,error,prediction,true_value
893,-3.0543336868286133,1.6956663131713867,4.75
799,-2.936007289886474,1.8439927101135254,4.779999999999999
1731,-2.8345813989639286,1.5654186010360718,4.4
287,-2.561154646873474,1.6088453531265259,4.17
933,-2.482975597381592,1.3870244026184082,3.87
798,-2.297567458152771,1.672432541847229,3.97
605,-2.259275040626526,1.7007249593734741,3.96
515,-2.144591598510742,1.6354084014892578,3.78
608,-2.106602010726929,1.9533979892730713,4.0600000000000005
97,-2.1053333473205567,1.6646666526794434,3.77
894,-1.9612450361251832,1.888754963874817,3.85
944,-1.9282865285873414,1.9217134714126587,3.85
1661,-1.9071901178359987,1.5028098821640015,3.41
606,-1.895440058708191,1.934559941291809,3.83
1662,-1.811631512641907,1.6383684873580933,3.45
514,-1.758520493507385,1.5014795064926147,3.26
201,-1.6727399635314941,1.8072600364685059,3.48
1663,-1.6407890272140504,1.7292109727859497,3.37
2352,-1.6092860984802244,1.9207139015197754,3.53
1591,-1.5891747426986695,1.2808252573013306,2.87
418,-1.561117238998413,1.508882761001587,3.07
98,-1.5547660779953003,1.9652339220046997,3.52
607,-1.5155387115478516,2.0044612884521484,3.52
1685,-1.4909885597229002,2.0790114402770996,3.57
288,-1.4319080448150636,1.9780919551849365,3.41
609,-1.404859013557434,1.915140986442566,3.32
1684,-1.3909379434585571,1.8790620565414429,3.27
2350,-1.386525983810425,1.4834740161895752,2.87
292,-1.3560244846343994,1.8739755153656006,3.23
917,-1.3092781257629396,1.8107218742370605,3.12
290,-1.3087726879119872,2.0712273120880127,3.38
610,-1.3071621704101561,1.8228378295898438,3.13
197,-1.2947763681411741,1.7552236318588257,3.05
2359,-1.2940276527404784,1.5459723472595215,2.84
942,-1.266387758255005,2.043612241744995,3.31
513,-1.2078788518905639,1.442121148109436,2.65
2355,-1.1047808265686037,2.0552191734313965,3.16
198,-1.0861972475051882,1.903802752494812,2.99
57,-1.0670039224624634,1.5129960775375366,2.58
921,-0.9799251556396484,1.7700748443603516,2.75
943,-0.9602501106262205,2.0097498893737793,2.9699999999999998
99,-0.9599958038330079,2.100004196166992,3.06
800,-0.939109706878662,1.960890293121338,2.9
2311,-0.9168049621582028,1.2631950378417969,2.1799999999999997
174,-0.8999383068084716,1.5600616931915283,2.46
958,-0.8991241168975828,1.820875883102417,2.7199999999999998
946,-0.8889767980575565,1.7210232019424438,2.6100000000000003
849,-0.8888847112655638,1.411115288734436,2.3
940,-0.8547187852859497,1.8752812147140503,2.73
954,-0.8533610534667968,1.5666389465332031,2.42
393,-0.8480800628662108,1.301919937133789,2.15
417,-0.8455829906463626,1.4344170093536377,2.2800000000000002
545,-0.8373658800125119,1.5526341199874878,2.3899999999999997
702,-0.8373346233367922,1.652665376663208,2.49
2335,-0.821535401344299,1.3584645986557007,2.1799999999999997
512,-0.8104469680786135,1.4295530319213867,2.24
28,-0.8080700683593749,1.571929931640625,2.38
964,-0.7950841045379642,2.064915895462036,2.8600000000000003
777,-0.7917015361785888,1.4382984638214111,2.23
743,-0.7914662981033325,1.8985337018966675,2.69
289,-0.7890838623046874,2.1109161376953125,2.9
291,-0.7822010898590088,2.007798910140991,2.79
546,-0.781760449409485,1.8382395505905151,2.62
556,-0.7789078426361087,1.7910921573638916,2.5700000000000003
1722,0.7686694431304932,1.9386694431304932,1.17
96,-0.7613292121887207,1.5286707878112793,2.29
1725,0.7553683996200562,1.9553683996200562,1.2
285,-0.7530444002151491,1.406955599784851,2.16
31,-0.7515331077575684,1.5784668922424316,2.33
2354,-0.7506851100921628,2.139314889907837,2.8899999999999997
1615,-0.7493523311614991,1.370647668838501,2.12
888,-0.7493395137786862,1.6806604862213135,2.4299999999999997
18,-0.7471292352676393,1.4128707647323608,2.16
101,0.7439153575897217,1.9539153575897217,1.21
701,-0.7377174139022826,1.6622825860977173,2.4
965,0.7325847148895264,1.9825847148895264,1.25
2431,-0.7178894090652466,1.5121105909347534,2.23
951,-0.7142960548400881,1.485703945159912,2.2
646,-0.7095000171661376,1.4804999828338623,2.19
1687,0.7085038471221923,2.0785038471221924,1.37
963,-0.7076578521728516,2.0823421478271484,2.79
263,-0.6978435611724851,1.5621564388275146,2.26
629,-0.6959713411331174,1.5240286588668823,2.2199999999999998
797,-0.6919438219070435,1.6180561780929565,2.31
200,-0.6842868995666507,1.8857131004333496,2.5700000000000003
726,-0.6731448268890379,1.836855173110962,2.51
870,-0.6717127847671511,1.6082872152328491,2.2800000000000002
950,-0.671101007461548,1.4888989925384521,2.16
100,-0.6696741485595705,2.0703258514404297,2.74
81,-0.664072985649109,1.4559270143508911,2.12
960,-0.6611592006683349,2.008840799331665,2.67
242,-0.6586152744293212,2.2613847255706787,2.92
918,-0.6572886753082274,1.9727113246917725,2.63
741,-0.6518766689300537,1.5781233310699463,2.23
30,-0.6453543710708618,1.5846456289291382,2.23
262,-0.6424803686141969,1.4775196313858032,2.12
2430,-0.6369842052459718,1.4630157947540283,2.1
244,-0.6354663753509522,2.154533624649048,2.79
953,-0.6284256219863891,1.5215743780136108,2.15
672,-0.6284163808822631,1.5815836191177368,2.21
53,-0.6227350568771364,1.7872649431228638,2.41
919,-0.6125062179565433,1.957493782043457,2.5700000000000003
286,-0.6121765327453614,1.5078234672546387,2.12
261,-0.6100481939315796,1.4099518060684204,2.02
24,0.6086609554290772,1.8386609554290771,1.23
1688,-0.6065153789520261,1.8634846210479736,2.4699999999999998
1035,-0.606055359840393,1.623944640159607,2.23
1724,0.6038668107986451,1.983866810798645,1.38
1726,0.6037013244628906,1.8837013244628906,1.28
1631,-0.5995139265060425,1.4404860734939575,2.04
1721,0.595831971168518,1.865831971168518,1.27
2351,-0.5957110786437987,1.7442889213562012,2.34
582,-0.5901133871078494,1.5198866128921509,2.1100000000000003
1695,-0.5804278707504276,1.5295721292495728,2.1100000000000003
293,0.5705685806274414,1.8005685806274414,1.23
264,-0.5645144987106323,1.6654855012893677,2.23
703,-0.5593714141845703,1.6306285858154297,2.19
561,-0.5573851156234744,1.4726148843765259,2.0300000000000002
2358,-0.5548836612701415,1.6351163387298584,2.19
961,-0.5531586456298827,2.076841354370117,2.63
949,-0.55301637172699,1.5169836282730103,2.0700000000000003
239,-0.5527034473419192,2.267296552658081,2.8200000000000003
502,-0.5521830368041991,1.5778169631958008,2.13
955,-0.5497805595397951,1.650219440460205,2.2
102,0.5465620422363282,1.7065620422363281,1.16
696,-0.5344951581954955,1.6355048418045044,2.17
959,-0.5258193922042844,1.9441806077957153,2.4699999999999998
241,-0.5237538909912107,2.236246109008789,2.76
1693,-0.5202723217010501,1.5497276782989502,2.0700000000000003
1692,-0.52010675907135,1.56989324092865,2.09
1723,0.5167370319366456,1.9667370319366455,1.45
821,0.5166680765151979,1.6466680765151978,1.13
2357,-0.5165382814407349,1.7534617185592651,2.27
465,-0.5133132839202881,1.476686716079712,1.99
1614,-0.5102233552932738,1.329776644706726,1.8399999999999999
1708,0.5082460403442384,1.9082460403442383,1.4
773,-0.5015676689147952,1.568432331085205,2.0700000000000003
1710,0.5010067796707154,1.9410067796707153,1.44
1711,0.496927146911621,1.866927146911621,1.37
234,-0.4969268655776977,1.7130731344223022,2.21
562,-0.49041076660156246,1.4695892333984375,1.96
1735,-0.48838186264038086,1.5116181373596191,2.0
509,-0.48725190639495874,1.5427480936050415,2.0300000000000002
175,-0.48381074905395494,1.606189250946045,2.09
1709,0.48300548076629646,1.9030054807662964,1.42
1008,-0.4764516162872314,1.5035483837127686,1.98
199,-0.4760784435272214,1.9539215564727783,2.4299999999999997
744,-0.4731727600097657,2.1268272399902344,2.6
952,-0.4658173036575317,1.5041826963424683,1.97
505,0.4646950197219848,1.7946950197219849,1.33
2,0.46160515308380123,1.7516051530838013,1.29
547,0.46153553962707505,2.121535539627075,1.6600000000000001
1681,0.4611438131332397,1.7511438131332397,1.29
50,0.45980328083038335,1.8998032808303833,1.44
866,0.4593883800506591,1.5793883800506592,1.12
506,0.4578867959976196,1.7278867959976196,1.27
699,0.4545588350296019,1.844558835029602,1.3900000000000001
1013,0.4485899686813355,1.6485899686813354,1.2
989,-0.44797451972961433,1.6320254802703857,2.08
698,0.44749347209930423,1.9074934720993042,1.46
129,-0.44572004890441885,1.450279951095581,1.896
2310,-0.44326906681060807,1.236730933189392,1.6800000000000002
957,-0.4424696683883669,1.7575303316116333,2.2
231,-0.4419456052780153,1.4880543947219849,1.9300000000000002
723,0.43713014602661127,1.7571301460266113,1.32
1629,-0.43371478557586673,1.3562852144241333,1.79
392,-0.4333877086639404,1.2666122913360596,1.7
941,-0.43258136749267573,2.007418632507324,2.44
389,-0.4296075153350829,1.200392484664917,1.63
19,-0.42802615165710445,1.5219738483428955,1.95
517,0.42622329235076917,1.786223292350769,1.3599999999999999
1682,0.4251306104660033,1.7951306104660034,1.37
227,0.424091100692749,1.924091100692749,1.5
243,-0.4234222793579101,2.26657772064209,2.69
2353,-0.4219182395935057,2.168081760406494,2.59
154,-0.42144042491912836,1.5185595750808716,1.94
1691,-0.42023387432098414,1.6097661256790161,2.0300000000000002
548,0.4074887943267822,2.1874887943267822,1.78
25,0.40662466049194324,1.7966246604919434,1.3900000000000001
1033,0.40638225555419916,1.7263822555541992,1.32
518,0.4040564918518066,1.7140564918518066,1.31
822,0.40361396312713627,1.6136139631271362,1.21
1011,0.40225081443786626,1.8522508144378662,1.45
922,0.4006140756607055,1.7206140756607056,1.32
267,-0.3997195291519162,1.7802804708480835,2.1799999999999997
897,-0.399023928642273,1.640976071357727,2.04
824,0.39695154190063464,1.5369515419006348,1.1400000000000001
265,-0.39629080295562735,1.7537091970443726,2.15
555,-0.3913255119323731,1.898674488067627,2.29
2320,-0.3905064201354982,1.269493579864502,1.6600000000000001
167,-0.3891408300399779,1.470859169960022,1.8599999999999999
1706,-0.38738441944122304,1.7426155805587769,2.13
948,-0.38654085159301754,1.5734591484069824,1.96
1010,0.3856852912902833,1.7956852912902832,1.41
962,-0.38519309997558615,2.104806900024414,2.49
1756,0.383565583229065,1.593565583229065,1.21
1612,-0.38072684764862075,1.2792731523513794,1.6600000000000001
939,-0.37818070888519273,1.7118192911148071,2.09
2308,-0.376246886253357,1.203753113746643,1.58
29,-0.3748375082015991,1.6151624917984009,1.99
1720,0.368391499519348,1.7583914995193481,1.3900000000000001
128,-0.36685753726959236,1.4671424627304077,1.834
935,0.36628850460052487,1.656288504600525,1.29
865,0.36623270034790045,1.5462327003479004,1.18
583,-0.366035614013672,1.5439643859863281,1.9100000000000001
82,-0.36539455890655503,1.4746054410934448,1.8399999999999999
603,0.36478502273559577,1.7947850227355957,1.43
748,-0.3632341909408572,1.916765809059143,2.2800000000000002
602,0.3630717945098878,1.7430717945098877,1.38
1727,0.36296479701995854,1.8129647970199585,1.45
986,0.3620001029968263,1.7420001029968262,1.38
219,0.3614593839645386,1.8514593839645386,1.49
103,0.3614209365844727,1.5414209365844727,1.18
1,0.3588801956176757,1.6988801956176758,1.34
872,0.3576402807235719,1.7176402807235718,1.3599999999999999
194,0.35748712539672844,1.6874871253967285,1.33
516,0.3571548652648926,1.8371548652648926,1.48
868,0.3570549869537354,1.5670549869537354,1.21
1057,0.35617121696472176,1.5161712169647217,1.16
1588,-0.3552098941802977,1.2147901058197021,1.5699999999999998
1658,0.35499993801116947,1.5649999380111694,1.21
21,0.3546990871429443,1.6546990871429443,1.3
420,0.35454343795776366,1.6145434379577637,1.26
1058,0.3541014957427979,1.5241014957427979,1.17
1729,0.35341982364654534,1.6834198236465454,1.33
724,0.35281816959381107,1.812818169593811,1.46
125,-0.35167629241943343,1.4683237075805664,1.8199999999999998
1655,0.35044565677642825,1.5704456567764282,1.22
1012,0.34873686790466296,1.738736867904663,1.3900000000000001
1665,0.3480164241790771,1.6780164241790771,1.33
1032,0.34763632774353015,1.7376363277435303,1.3900000000000001
742,-0.3457545900344847,1.7442454099655151,2.09
268,-0.34356865882873544,1.7564313411712646,2.1
1696,-0.33807624816894544,1.5519237518310547,1.8900000000000001
990,-0.3362885236740112,1.6137114763259888,1.95
1037,0.3360941505432129,1.576094150543213,1.24
891,0.3331763458251953,1.8631763458251953,1.53
722,0.33316912651062003,1.6831691265106201,1.35
220,0.33200884342193593,1.952008843421936,1.62
802,0.3309541177749633,1.6609541177749634,1.33
1718,0.33056167602539066,1.5405616760253906,1.21
630,-0.32934421539306635,1.6106557846069336,1.94
202,0.326964168548584,1.796964168548584,1.47
2451,-0.32582910537719734,1.5041708946228027,1.83
1018,-0.32523957252502456,1.3347604274749756,1.6600000000000001
864,0.32277436733245857,1.4927743673324585,1.17
530,0.32269793987274165,1.6326979398727417,1.31
889,-0.3208424282073974,1.8491575717926025,2.17
228,0.3203739500045777,1.7603739500045776,1.44
1694,-0.3187951898574828,1.541204810142517,1.8599999999999999
559,-0.3183903646469117,1.5516096353530884,1.87
0,0.3179661655426025,1.6279661655426025,1.31
801,0.31755265712738034,1.8475526571273804,1.53
923,0.3172378349304199,1.58723783493042,1.27
195,0.3168797254562379,1.7168797254562378,1.4
776,-0.3167897748947144,1.4632102251052856,1.78
49,0.3161393117904663,1.8461393117904663,1.53
867,0.3156044387817383,1.5756044387817383,1.26
558,-0.31494849205017106,1.615051507949829,1.9300000000000002
796,0.31359543800353995,1.66359543800354,1.35
1719,0.31046728610992425,1.6404672861099243,1.33
823,0.30784509658813475,1.5778450965881348,1.27
874,0.3067097568511963,1.5667097568511963,1.26
890,0.305836682319641,1.9258366823196411,1.62
2427,0.3056873846054078,1.4756873846054077,1.17
604,0.3055028104782105,1.7655028104782104,1.46
