index,error,prediction,true_value
799,-3.335580854415893,1.4444191455841064,4.779999999999999
893,-3.0684858560562134,1.6815141439437866,4.75
1731,-2.678218984603882,1.7217810153961182,4.4
608,-2.615286884307862,1.4447131156921387,4.0600000000000005
287,-2.5775686931610107,1.5924313068389893,4.17
798,-2.48763653755188,1.4823634624481201,3.97
933,-2.3476949882507325,1.5223050117492676,3.87
944,-2.332650637626648,1.517349362373352,3.85
605,-2.32749267578125,1.63250732421875,3.96
515,-2.29899516582489,1.4810048341751099,3.78
606,-2.256298499107361,1.5737015008926392,3.83
894,-2.221396064758301,1.6286039352416992,3.85
97,-2.1234733057022095,1.6465266942977905,3.77
607,-2.038236756324768,1.481763243675232,3.52
201,-1.9850227642059326,1.4949772357940674,3.48
1662,-1.9331546545028688,1.5168453454971313,3.45
2352,-1.9249173688888548,1.605082631111145,3.53
609,-1.884409017562866,1.4355909824371338,3.32
1663,-1.8784211826324464,1.4915788173675537,3.37
1661,-1.872768077850342,1.5372319221496582,3.41
98,-1.8423289251327515,1.6776710748672485,3.52
288,-1.7908505535125734,1.6191494464874268,3.41
514,-1.7760660743713377,1.483933925628662,3.26
290,-1.7626704025268554,1.6173295974731445,3.38
418,-1.7442570400238036,1.3257429599761963,3.07
1685,-1.730714268684387,1.8392857313156128,3.57
292,-1.7175562191009521,1.5124437808990479,3.23
610,-1.6983480501174926,1.4316519498825073,3.13
942,-1.6884438371658326,1.6215561628341675,3.31
1591,-1.5891579341888429,1.2808420658111572,2.87
2355,-1.486936960220337,1.673063039779663,3.16
800,-1.445950174331665,1.454049825668335,2.9
1684,-1.4211707305908203,1.8488292694091797,3.27
943,-1.3859331321716306,1.5840668678283691,2.9699999999999998
99,-1.3631570911407471,1.696842908859253,3.06
2350,-1.3356656980514527,1.5343343019485474,2.87
2359,-1.3242691421508788,1.515730857849121,2.84
198,-1.2906674051284792,1.699332594871521,2.99
289,-1.2798990249633788,1.620100975036621,2.9
197,-1.273074674606323,1.7769253253936768,3.05
921,-1.2491275072097778,1.5008724927902222,2.75
2354,-1.1838232421874997,1.7061767578125,2.8899999999999997
291,-1.1779107236862183,1.6120892763137817,2.79
513,-1.154673957824707,1.495326042175293,2.65
946,-1.1388817882537845,1.4711182117462158,2.6100000000000003
917,-1.1126517009735108,2.0073482990264893,3.12
100,-1.1033761405944826,1.6366238594055176,2.74
546,-1.0740685415267945,1.5459314584732056,2.62
743,-1.0620816373825073,1.6279183626174927,2.69
200,-1.0557782125473025,1.5142217874526978,2.5700000000000003
57,-1.0320946741104127,1.5479053258895874,2.58
919,-1.0298191976547244,1.5401808023452759,2.5700000000000003
239,-0.9403964948654178,1.8796035051345825,2.8200000000000003
2353,-0.9325896167755126,1.6574103832244873,2.59
958,-0.9308937501907346,1.7891062498092651,2.7199999999999998
417,-0.9282683420181277,1.3517316579818726,2.2800000000000002
174,-0.9140300369262695,1.5459699630737305,2.46
702,-0.9040865802764895,1.5859134197235107,2.49
918,-0.8970542001724242,1.7329457998275757,2.63
2311,-0.8766485977172849,1.3033514022827148,2.1799999999999997
545,-0.8765347146987912,1.5134652853012085,2.3899999999999997
744,-0.8602064609527589,1.7397935390472412,2.6
1688,-0.8594463777542112,1.6105536222457886,2.4699999999999998
199,-0.8542542982101438,1.575745701789856,2.4299999999999997
393,-0.8453958272933959,1.304604172706604,2.15
954,-0.8425744009017944,1.5774255990982056,2.42
849,-0.8117537975311278,1.488246202468872,2.3
2431,-0.8054748582839966,1.4245251417160034,2.23
31,-0.8015678691864014,1.5284321308135986,2.33
224,-0.8009164571762084,1.5990835428237915,2.4
726,-0.8004568910598753,1.7095431089401245,2.51
960,-0.7988709640502929,1.871129035949707,2.67
242,-0.7901579570770263,2.1298420429229736,2.92
777,-0.7882705736160278,1.4417294263839722,2.23
888,-0.7735434103012082,1.6564565896987915,2.4299999999999997
2351,-0.7722435855865477,1.5677564144134521,2.34
226,-0.7709007549285891,1.5090992450714111,2.2800000000000002
1615,-0.7516710710525514,1.3683289289474487,2.12
2357,-0.7515149307250977,1.5184850692749023,2.27
701,-0.7427313566207885,1.6572686433792114,2.4
870,-0.7352978277206423,1.544702172279358,2.2800000000000002
512,-0.7242181205749514,1.5157818794250488,2.24
951,-0.7134288072586061,1.486571192741394,2.2
241,-0.7095229721069334,2.0504770278930664,2.76
234,-0.7072282648086547,1.5027717351913452,2.21
965,0.7046284675598145,1.9546284675598145,1.25
741,-0.7028955030441284,1.5271044969558716,2.23
236,-0.6989151620864869,1.5910848379135132,2.29
96,-0.6928974771499634,1.5971025228500366,2.29
2335,-0.691113882064819,1.4888861179351807,2.1799999999999997
941,-0.6895579719543456,1.7504420280456543,2.44
950,-0.6894953584671022,1.470504641532898,2.16
646,-0.6881117248535156,1.5018882751464844,2.19
2358,-0.6850863122940063,1.5049136877059937,2.19
797,-0.680513916015625,1.629486083984375,2.31
964,-0.6796578025817874,2.180342197418213,2.8600000000000003
225,-0.6782116079330445,1.6117883920669556,2.29
263,-0.6759450531005857,1.584054946899414,2.26
2430,-0.6696148872375489,1.4303851127624512,2.1
940,-0.6692855167388916,2.0607144832611084,2.73
959,-0.6692357969284055,1.8007642030715942,2.4699999999999998
1755,0.6680900192260741,2.008090019226074,1.34
961,-0.6651687669754027,1.9648312330245972,2.63
703,-0.6644206666946411,1.5255793333053589,2.19
18,-0.6482500171661378,1.5117499828338623,2.16
30,-0.6482014465332031,1.5817985534667969,2.23
264,-0.6371148633956909,1.592885136604309,2.23
219,0.6275634860992432,2.117563486099243,1.49
556,-0.6206130456924441,1.9493869543075562,2.5700000000000003
223,-0.6151113700866699,1.65488862991333,2.27
821,0.6132085275650025,1.7432085275650024,1.13
953,-0.6111234664916991,1.5388765335083008,2.15
1682,0.6095026779174804,1.9795026779174805,1.37
1681,0.609448275566101,1.899448275566101,1.29
285,-0.608881506919861,1.5511184930801392,2.16
237,-0.6080251026153567,1.6719748973846436,2.2800000000000002
949,-0.6078441810607913,1.462155818939209,2.0700000000000003
175,-0.6020606422424315,1.4879393577575684,2.09
955,-0.594348978996277,1.6056510210037231,2.2
963,-0.5911491298675537,2.1988508701324463,2.79
28,-0.588840250968933,1.791159749031067,2.38
81,-0.5874469232559205,1.5325530767440796,2.12
465,-0.5839480066299438,1.4060519933700562,1.99
1631,-0.5823099994659424,1.4576900005340576,2.04
1695,-0.5813377952575687,1.5286622047424316,2.1100000000000003
244,-0.5794439697265625,2.2105560302734375,2.79
1692,-0.5772683286666869,1.512731671333313,2.09
897,-0.5754667901992798,1.4645332098007202,2.04
262,-0.5703799676895143,1.5496200323104858,2.12
582,-0.5693559503555301,1.5406440496444702,2.1100000000000003
53,-0.5663470363616945,1.8436529636383057,2.41
773,-0.5633936595916751,1.5066063404083252,2.0700000000000003
235,-0.5624967575073243,1.5375032424926758,2.1
920,-0.5578231287002566,1.5121768712997437,2.0700000000000003
154,-0.5563797378540039,1.383620262145996,1.94
866,0.555821304321289,1.675821304321289,1.12
723,0.5521927404403686,1.8721927404403687,1.32
1693,-0.5519509983062747,1.5180490016937256,2.0700000000000003
240,-0.5496542644500733,1.9703457355499268,2.52
220,0.5476433086395263,2.1676433086395264,1.62
627,0.5460207366943359,2.056020736694336,1.51
1035,-0.5429408359527588,1.6870591640472412,2.23
1708,0.5424214363098145,1.9424214363098145,1.4
286,-0.5422265481948854,1.5777734518051147,2.12
938,0.5375583314895631,1.897558331489563,1.3599999999999999
506,0.5364923286437988,1.8064923286437988,1.27
265,-0.5330751180648803,1.6169248819351196,2.15
742,-0.5242414140701293,1.5657585859298706,2.09
1614,-0.5236482286453246,1.3163517713546753,1.8399999999999999
267,-0.5200716781616208,1.659928321838379,2.1799999999999997
502,-0.51979434967041,1.6102056503295898,2.13
1691,-0.5185641336441043,1.511435866355896,2.0300000000000002
871,-0.5177829360961912,1.4922170639038086,2.01
561,-0.5173486757278445,1.5126513242721558,2.0300000000000002
129,-0.5152380189895629,1.380761981010437,1.896
147,0.5132915544509888,1.6832915544509888,1.17
2,0.5110616302490234,1.8010616302490234,1.29
1013,0.5103568315505982,1.7103568315505981,1.2
947,-0.510164589881897,1.459835410118103,1.97
822,0.5082519435882569,1.7182519435882568,1.21
191,0.5060556221008301,1.72605562210083,1.22
948,-0.5016072607040405,1.4583927392959595,1.96
192,0.4972890520095825,1.7572890520095825,1.26
231,-0.49364250183105485,1.4363574981689453,1.9300000000000002
530,0.4933525943756103,1.8033525943756104,1.31
722,0.4930631160736083,1.8430631160736084,1.35
868,0.49268630981445316,1.7026863098144531,1.21
746,-0.4915444993972775,1.8984555006027222,2.3899999999999997
194,0.49090032100677483,1.820900321006775,1.33
243,-0.49064415931701655,2.1993558406829834,2.69
148,0.48985149383544924,1.7198514938354492,1.23
145,0.4871324348449706,1.6071324348449707,1.12
914,0.4865248155593873,1.8665248155593872,1.38
195,0.48568854331970224,1.8856885433197021,1.4
218,0.48450320243835465,2.0545032024383545,1.5699999999999998
1714,0.48429374694824223,1.6842937469482422,1.2
261,-0.48046948432922365,1.5395305156707764,2.02
651,0.48038113594055165,2.1003811359405518,1.62
912,0.4796512556076049,1.809651255607605,1.33
1735,-0.47952091693878174,1.5204790830612183,2.0
745,-0.47892015933990484,1.8310798406600952,2.31
889,-0.47803227424621575,1.6919677257537842,2.17
268,-0.4750495910644532,1.6249504089355469,2.1
1704,0.47292249202728276,1.9229224920272827,1.45
551,-0.47275714397430413,1.6972428560256958,2.17
865,0.46781045913696295,1.647810459136963,1.18
552,-0.4677904748916628,1.7722095251083374,2.24
952,-0.4655198764801025,1.5044801235198975,1.97
1658,0.4616365814208985,1.6716365814208984,1.21
146,0.461290774345398,1.651290774345398,1.19
626,0.46034714221954354,1.8703471422195435,1.41
672,-0.4593927478790283,1.7506072521209717,2.21
1722,0.45669599056243904,1.626695990562439,1.17
128,-0.45564676189422615,1.378353238105774,1.834
562,-0.45512374401092526,1.5048762559890747,1.96
989,-0.4543408918380738,1.6256591081619263,2.08
867,0.45036577224731444,1.7103657722473145,1.26
217,0.44808240890502926,1.9880824089050293,1.54
233,-0.44645766735076897,1.473542332649231,1.92
1690,-0.44391021251678464,1.5260897874832153,1.97
864,0.44354386806488044,1.6135438680648804,1.17
531,0.44217316150665287,1.9021731615066528,1.46
1718,0.4400766277313233,1.6500766277313232,1.21
1754,0.4391343355178834,1.8391343355178833,1.4
24,0.43895830631256105,1.668958306312561,1.23
962,-0.43882822036743185,2.0511717796325684,2.49
1689,-0.43832444190979003,1.55167555809021,1.99
896,-0.4265452957153322,1.483454704284668,1.9100000000000001
696,-0.4225049448013305,1.7474950551986694,2.17
553,-0.4204614257812498,1.83953857421875,2.26
2356,-0.41952680587768554,1.5704731941223145,1.99
126,-0.41666774749755864,1.3833322525024414,1.8
125,-0.41529161453247054,1.4047083854675293,1.8199999999999998
19,-0.4139705419540405,1.5360294580459595,1.95
1629,-0.4116709613800049,1.3783290386199951,1.79
238,-0.40771454811096186,1.782285451889038,2.19
439,-0.4025815105438233,1.4074184894561768,1.81
549,-0.39500011920928957,1.6249998807907104,2.02
