type,dataset_name,best_params,duration,mse_score,rmse_score,mae_score,smape_score,mape_score,r2_score
LSTMA,synthetic_data,"{'lstm_units': 78, 'dropout_rate': 0.1907830534925108, 'optimizer': 'rmsprop'}",13.291039,0.01,0.1,0.07,28.38,38.17,-0.5919
DCNN,synthetic_data,"{'filters': 38, 'kernel_size': 3, 'dilation_rate': 3, 'dropout_rate': 0.1274856300632517, 'num_conv_layers': 2, 'optimizer': 'rmsprop', 'l2_reg': 0.0001398829584689177}",6.106005,29.61,5.44,4.33,9.33,9.41,0.4966
WaveNet,synthetic_data,"{'filters': 96, 'kernel_size': 3, 'dilation_rate': 2, 'num_wavenet_blocks': 1, 'dropout_rate': 0.28219457213898763, 'l2_reg': 8.845198982252268e-06, 'optimizer': 'rmsprop'}",14.327067,19.42,4.41,3.46,7.5,7.73,0.6698
LSTM,synthetic_data,"{'lstm_units': 106, 'dropout_rate': 0.2887677273212861, 'num_lstm_layers': 1, 'learning_rate': 0.0007117170138534335}",47.306989,26.87,5.18,4.16,8.97,8.8,0.5432
BLSTM,synthetic_data,"{'lstm_units': 124, 'dropout_rate': 0.26575147557586337, 'num_lstm_layers': 1, 'learning_rate': 0.0007498811270556275}",48.308682,23.16,4.81,3.85,8.34,8.55,0.6062
BGRU,synthetic_data,"{'gru_units': 106, 'dropout_rate': 0.2994206097032157, 'num_gru_layers': 1, 'learning_rate': 0.00038403184966464995}",101.874576,28.0,5.29,4.28,9.22,9.15,0.5241
GRU,synthetic_data,"{'gru_units': 117, 'dropout_rate': 0.23648349147961317, 'num_gru_layers': 1, 'learning_rate': 0.00032829538857703474}",42.912705,25.03,5.0,3.99,8.61,8.65,0.5745
TST,synthetic_data,"{'d_model': 69, 'num_heads': 4, 'num_transformer_layers': 2, 'ff_dim': 98, 'dropout_rate': 0.15453036408446663, 'learning_rate': 0.0008208778557729742, 'optimizer': 'adam'}",153.470768,41.51,6.44,5.13,11.07,11.72,0.2943
TFT,synthetic_data,"{'hidden_units': 88, 'dropout_rate': 0.17821745860120514, 'num_lstm_layers': 1, 'num_heads': 5, 'num_attention_blocks': 2, 'l2_reg': 1.1387524460049026e-05, 'optimizer': 'rmsprop'}",61.193662,41.07,6.41,5.1,10.99,11.29,0.3019
CNN,synthetic_data,"{'filters': 116, 'kernel_size': 3, 'dropout_rate': 0.11249066185254614, 'num_conv_layers': 2, 'optimizer': 'adam', 'l2_reg': 2.1278125821738972e-05}",12.671558,20.32,4.51,3.61,7.86,8.11,0.6546
TCN,synthetic_data,"{'filters': 58, 'kernel_size': 5, 'dropout_rate': 0.3532744453104929, 'num_tcn_blocks': 3, 'dilation_base': 3, 'l2_reg': 6.309063525150096e-05, 'optimizer': 'adam'}",17.294517,18.38,4.29,3.41,7.42,7.65,0.6876
